34685	it is it 's great	NONE	NONE	D D O O O
29017	and it 's like why do we need this	NONE	NONE	O O O O O O O O O
3360	and they 're none of them are recent	NONE	NONE	O D D O O O O O
1917	that can not be it could be recycled	NONE	NONE	D D D D O O O O
22416	in fact it 's i think it 's on tonight	NONE	NONE	O O D D O O O O O O
31925	but it 's it is instrumental	NONE	NONE	O D D O O O
33150	and i 'm this is kind of groedy	NONE	NONE	O O O O O O O O
8995	did you like do you use credit cards	NONE	NONE	D D D O O O O O
15226	we 're not i do n't	NONE	NONE	O O O O O O
5184	and it 's it it 's something you can all	NONE	NONE	O D D D O O O O O O
11614	it 's that 's simple	NONE	NONE	D D O O O
46746	and not and then again not everything	NONE	NONE	D D O O O O O
3222	it is it 's incredible	NONE	NONE	D D O O O
36267	we 're in the i 'm in the suburb of cleveland	NONE	NONE	D D D D O O O O O O O
41135	this is all it 's all drywall	NONE	NONE	D D D O O O O
25499	it 's to me it 's amazing	NONE	NONE	D D O O O O O
34546	i 'm i guess you 're right	NONE	NONE	D D O O O O O
6982	it 's such i just think it 's such a fun sport	NONE	NONE	D D D O O O O O O O O O
9666	they 're a it 's a small market	NONE	NONE	D D D O O O O O
20306	but i think i 'm not sure if it 's by law just	NONE	NONE	O O O O O O O O O O O O O
21775	but on the other side of it is	NONE	NONE	O O O O O O O O
3822	and i 'm so i 'm real spoiled	NONE	NONE	D D D O O O O O
28600	and it 's like do you really feel that sure about	NONE	NONE	O O O O O O O O O O O
41007	that 's that would be good	NONE	NONE	D D O O O O
34763	and we had about i was there maybe thirteen hundred people	NONE	NONE	O O O O O O O O O O O
45738	actually they i think they slant things	NONE	NONE	O D O O O O O
26012	not stand up for their rights as much	NONE	NONE	O O O O O O O O
44121	are you a you 're a mormon then	NONE	NONE	D D D O O O O O
23949	because i since i came from	NONE	NONE	O D O O O O
8929	i was probably this was probably	NONE	NONE	D D D O O O
4764	i 've been a i was a travel agent	NONE	NONE	D D D D O O O O O
35180	and he goes i just came up here to work	NONE	NONE	O O O O O O O O O O
93	i use to be i used to be like that	NONE	NONE	D D D D O O O O O O
44420	it is it 's fabulous	NONE	NONE	D D O O O
34829	how how	NONE	NONE	D O
44272	five was the script was bad bad bad	NONE	NONE	D D O O O O O O
27181	and that 's it 's really too bad	NONE	NONE	O D D O O O O O
38794	it just it 's a real good	NONE	NONE	D D O O O O O
40773	and i 'm just i guess i 'm just middle america or something	NONE	NONE	O D D D O O O O O O O O O
27929	but it was just i missed it by a couple months	NONE	NONE	O O O O O O O O O O O
340	our movies today it used to be x	NONE	NONE	O O O O O O O O
38224	so that but that was interesting	NONE	NONE	D D O O O O
37491	i 've been we 've been here for twenty-five years	NONE	NONE	D D D O O O O O O O
5958	or and i do n't	NONE	NONE	D O O O O
45729	and there would be like thirty people	NONE	NONE	O O O O O O O
1203	and she said it 's they said it 's good	NONE	NONE	O D D D D O O O O O
17571	and rascal is a black and white short hair	NONE	NONE	O O O O O O O O O
45573	i 'd i did n't see it	NONE	NONE	D D O O O O O
7574	i 'm hoping that wo n't be	NONE	NONE	O O O O O O O
2312	if i can the other side of the coin for a moment	NONE	NONE	O O O O O O O O O O O O
20289	i i i agree	NONE	NONE	D D O O
46587	sort of like the is that a b c 's nightline	NONE	NONE	O O O O O O O O O O O
53574	just because it 's maybe it 's just because of the sexist views and everything	NONE	NONE	D D D D O O O O O O O O O O O
16800	that 's it 's interesting	NONE	NONE	D D O O O
21098	you 've got we 've got to keep it now	NONE	NONE	D D D O O O O O O O
12754	because he just he did n't	NONE	NONE	O D D O O O
7159	but but still it 's it 's really not not not a good quality	NONE	NONE	D O O D D O O O D D O O O O
50905	starts with the one person that	NONE	NONE	O O O O O O
8353	what 's the one that just	NONE	NONE	O O O O O O
8706	you have to you have poultry place	NONE	NONE	D D D O O O O
12752	and but she does n't china paint	NONE	NONE	D O O O O O O
40107	we did i did horseback riding too	NONE	NONE	D D O O O O O
4548	and she just her term just ended	NONE	NONE	O D D O O O O
4118	but i 'm ca n't decide	NONE	NONE	O D D O O O
10870	that 's just i think that 's just	NONE	NONE	D D D O O O O O
48872	and and driving miss daisy	NONE	NONE	D O O O O
34887	he 's he was two in december	NONE	NONE	D D O O O O O
43512	and so it 's i guess it 's such a growing concern	NONE	NONE	O O D D O O O O O O O O
9308	and we 're going to get just take it back	NONE	NONE	O O O O O D O O O O
11157	because it 's just it 's along the erie canal up here	NONE	NONE	O D D D O O O O O O O O
20079	and then but i do n't know	NONE	NONE	D D O O O O O
457	so but for the most part they did have good care	NONE	NONE	D O O O O O O O O O O
14562	which means kind of a i guess it 's a different set of standards i	NONE	NONE	D D D D D O O O O O O O O O O
27953	he just he 's being helped	NONE	NONE	D D O O O O
25382	we 've as i said we 've done them three times	NONE	NONE	D D O O O O O O O O O
46758	i am i 'm a big football fan	NONE	NONE	D D O O O O O O
21293	i was never i was born in nineteen hundred sixty-nine	NONE	NONE	D D D O O O O O O O
11566	which is that 's aids related complex	NONE	NONE	D D O O O O O
7200	and i also if i	NONE	NONE	O O O O O
23691	i 've done maybe four or five	NONE	NONE	O O O O O O O
24094	he 's always he really does have a good home	NONE	NONE	D D D O O O O O O O
45031	and then we come we get the computer home	NONE	NONE	O O D D O O O O O
9254	and it 's i think it started out to be just kind of a test a pilot project	NONE	NONE	O D D O O O O O O O O O O O O O O O
19391	but it is it 's getting worse	NONE	NONE	O D D O O O O
24392	i think it would be next year is what i 'd read	NONE	NONE	O O O O O O O O O O O O
1246	it just seems to me that over the years now the	NONE	NONE	O O O O O O O O O O O
38002	just just	NONE	NONE	D O
20122	in one hour like quantum leap	NONE	NONE	O O O O O O
8153	so that the people are really	NONE	NONE	O O O O O O
32794	and it is it 's a whole experience	NONE	NONE	O D D O O O O O
13152	our baby 's quilt it was a pre like the design	NONE	NONE	O O O O O O D D O O O
34817	i 'm i have just started reading a book	NONE	NONE	D D O O O O O O O
29317	so i for some reason i 've come up three times	NONE	NONE	O D O O O O O O O O O
11995	you just you really do n't know	NONE	NONE	D D O O O O O
14230	i not very long ago worked for wal-mart	NONE	NONE	O O O O O O O O
49527	and we i think we over estimated it	NONE	NONE	O D O O O O O O
39746	which they do at the beginning of the season to grab your attention	NONE	NONE	O O O O O O O O O O O O O
8660	that 's really that 's i bet that was nice	NONE	NONE	D D D D D O O O O O
14304	it 's it 's it 's	NONE	NONE	D D D D O O
16140	and that 's that is right	NONE	NONE	O D D O O O
